mcc_code.code_mcc,mcc_code.industry,mcc_code.date_pr
7273,Services           ,20230831
7277,Services           ,20230831
7299,Services           ,20230831
7311,Services           ,20230831
7338,Services           ,20230831
7349,Services           ,20230831
7392,Services           ,20230831
7399,Services           ,20230831
7542,Services           ,20230831
7549,Services           ,20230831
7699,Services           ,20230831
8041,Services           ,20230831
8050,Services           ,20230831
8111,Services           ,20230831
8351,Services           ,20230831
8911,Services           ,20230831
8999,Services           ,20230831
7216,Services           ,20230831
7251,Services           ,20230831
7339,Services           ,20230831
7297,Services           ,20230831
742,Services           ,20230831
1750,Services           ,20230831
1799,Services           ,20230831
4582,Services           ,20230831
5451,Services           ,20230831
5592,Services           ,20230831
5963,Services           ,20230831
5973,Services           ,20230831
6211,Services           ,20230831
7261,Services           ,20230831
7278,Services           ,20230831
7523,Services           ,20230831
7534,Services           ,20230831
7535,Services           ,20230831
7623,Services           ,20230831
7994,Services           ,20230831
8042,Services           ,20230831
8211,Services           ,20230831
8244,Services           ,20230831
8931,Services           ,20230831
9399,Services           ,20230831
9402,Services           ,20230831
4784,Services           ,20230831
5051,Services           ,20230831
5085,Services           ,20230831
5099,Services           ,20230831
5131,Services           ,20230831
5139,Services           ,20230831
5169,Services           ,20230831
5199,Services           ,20230831
5965,Services           ,20230831
5966,Services           ,20230831
7375,Services           ,20230831
4829,Services           ,20230831
7995,Services           ,20230831
4043,Services           ,20230831
5975,Services           ,20230831
6083,Services           ,20230831
6118,Services           ,20230831
7289,Services           ,20230831
7393,Services           ,20230831
8029,Services           ,20230831
8052,Services           ,20230831
8085,Services           ,20230831
9211,Services           ,20230831
9820,Services           ,20230831
5947,Sport & Hobbies    ,20230831
5044,Sport & Hobbies    ,20230831
5561,Sport & Hobbies    ,20230831
5733,Sport & Hobbies    ,20230831
5735,Sport & Hobbies    ,20230831
5932,Sport & Hobbies    ,20230831
5937,Sport & Hobbies    ,20230831
5940,Sport & Hobbies    ,20230831
5945,Sport & Hobbies    ,20230831
5946,Sport & Hobbies    ,20230831
5970,Sport & Hobbies    ,20230831
5971,Sport & Hobbies    ,20230831
5972,Sport & Hobbies    ,20230831
5993,Sport & Hobbies    ,20230831
7221,Sport & Hobbies    ,20230831
7333,Sport & Hobbies    ,20230831
7395,Sport & Hobbies    ,20230831
5941,Sport & Hobbies    ,20230831
7032,Sport & Hobbies    ,20230831
7932,Sport & Hobbies    ,20230831
7933,Sport & Hobbies    ,20230831
7941,Sport & Hobbies    ,20230831
7992,Sport & Hobbies    ,20230831
7997,Sport & Hobbies    ,20230831
1535,Sport & Hobbies    ,20230831
5531,Sport & Hobbies    ,20230831
5543,Sport & Hobbies    ,20230831
7536,Sport & Hobbies    ,20230831
7568,Sport & Hobbies    ,20230831
3351,Travel & Transport ,20230831
3389,Travel & Transport ,20230831
5013,Travel & Transport ,20230831
5511,Travel & Transport ,20230831
5521,Travel & Transport ,20230831
5532,Travel & Transport ,20230831
5533,Travel & Transport ,20230831
5571,Travel & Transport ,20230831
5595,Travel & Transport ,20230831
5599,Travel & Transport ,20230831
5994,Travel & Transport ,20230831
7512,Travel & Transport ,20230831
7513,Travel & Transport ,20230831
7531,Travel & Transport ,20230831
7538,Travel & Transport ,20230831
8675,Travel & Transport ,20230831
3103,Travel & Transport ,20230831
4215,Travel & Transport ,20230831
4511,Travel & Transport ,20230831
4121,Travel & Transport ,20230831
4214,Travel & Transport ,20230831
4411,Travel & Transport ,20230831
4457,Travel & Transport ,20230831
4722,Travel & Transport ,20230831
4789,Travel & Transport ,20230831
9722,Travel & Transport ,20230831
3012,Travel & Transport ,20230831
3026,Travel & Transport ,20230831
3061,Travel & Transport ,20230831
3075,Travel & Transport ,20230831
3077,Travel & Transport ,20230831
3082,Travel & Transport ,20230831
3100,Travel & Transport ,20230831
3136,Travel & Transport ,20230831
3161,Travel & Transport ,20230831
3000,Travel & Transport ,20230831
3001,Travel & Transport ,20230831
3008,Travel & Transport ,20230831
3010,Travel & Transport ,20230831
3020,Travel & Transport ,20230831
3022,Travel & Transport ,20230831
3039,Travel & Transport ,20230831
3058,Travel & Transport ,20230831
3063,Travel & Transport ,20230831
3076,Travel & Transport ,20230831
3078,Travel & Transport ,20230831
3079,Travel & Transport ,20230831
3084,Travel & Transport ,20230831
3090,Travel & Transport ,20230831
3098,Travel & Transport ,20230831
3099,Travel & Transport ,20230831
3196,Travel & Transport ,20230831
3206,Travel & Transport ,20230831
3245,Travel & Transport ,20230831
3256,Travel & Transport ,20230831
3261,Travel & Transport ,20230831
4011,Travel & Transport ,20230831
4111,Travel & Transport ,20230831
4112,Travel & Transport ,20230831
4131,Travel & Transport ,20230831
3366,Travel & Transport ,20230831
3381,Travel & Transport ,20230831
3390,Travel & Transport ,20230831
3405,Travel & Transport ,20230831
3019,Travel & Transport ,20230831
3034,Travel & Transport ,20230831
3072,Travel & Transport ,20230831
3246,Travel & Transport ,20230831
3260,Travel & Transport ,20230831
3596,Travel & Transport ,20230831
3007,Travel & Transport ,20230831
3011,Travel & Transport ,20230831
3014,Travel & Transport ,20230831
3015,Travel & Transport ,20230831
3042,Travel & Transport ,20230831
3047,Travel & Transport ,20230831
3295,Travel & Transport ,20230831
3506,Travel & Transport ,20230831
3510,Travel & Transport ,20230831
3528,Travel & Transport ,20230831
3530,Travel & Transport ,20230831
3579,Travel & Transport ,20230831
3583,Travel & Transport ,20230831
3598,Travel & Transport ,20230831
3615,Travel & Transport ,20230831
3617,Travel & Transport ,20230831
3638,Travel & Transport ,20230831
3649,Travel & Transport ,20230831
3655,Travel & Transport ,20230831
3665,Travel & Transport ,20230831
3692,Travel & Transport ,20230831
3695,Travel & Transport ,20230831
3721,Travel & Transport ,20230831
3741,Travel & Transport ,20230831
3770,Travel & Transport ,20230831
3779,Travel & Transport ,20230831
3784,Travel & Transport ,20230831
3790,Travel & Transport ,20230831
3793,Travel & Transport ,20230831
3798,Travel & Transport ,20230831
3802,Travel & Transport ,20230831
3804,Travel & Transport ,20230831
3811,Travel & Transport ,20230831
3828,Travel & Transport ,20230831
5271,Travel & Transport ,20230831
5551,Travel & Transport ,20230831
5998,Travel & Transport ,20230831
6145,Travel & Transport ,20230831
7015,Travel & Transport ,20230831
